"state","year","treated","baseline_emissions","coal_share","income_pc","elec_price","time_trend","co2_power_pc_tons"
"AL",2000,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,0,13.0377017839164
"AL",2001,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-0.15,12.1799469727015
"AL",2002,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-0.3,11.8961528058383
"AL",2003,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-0.45,10.9606291121655
"AL",2004,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-0.6,11.1400684187092
"AL",2005,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-0.75,11.3308823839026
"AL",2006,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-0.9,11.1195152774338
"AL",2007,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-1.05,11.5872546911702
"AL",2008,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-1.2,10.3786174046751
"AL",2009,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-1.35,11.2408679442827
"AL",2010,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-1.5,10.7318654039208
"AL",2011,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-1.65,10.222310732553
"AL",2012,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-1.8,10.0745860310989
"AL",2013,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-1.95,9.52586348353102
"AL",2014,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-2.1,9.59001146163373
"AL",2015,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-2.25,9.64710664778533
"AL",2016,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-2.4,9.70865476783024
"AL",2017,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-2.55,9.16248978079045
"AL",2018,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-2.7,9.86702190596497
"AL",2019,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-2.85,9.42188005913498
"AL",2020,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-3,8.81611899403074
"AL",2021,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-3.15,7.85391515181968
"AL",2022,0,12.464811530745,0.232006869651377,55527.5179739341,0.100793841594195,-3.3,8.43764062771479
"AK",2000,0,10.2543965563348,0.387743577617221,54525.2792635687,0.113306788408895,0,10.5304714320654
"AK",2001,0,10.2543965563348,0.387743577617221,54525.2792635687,0.113306788408895,-0.15,10.5307589109066
