plot,vpd,density,perinc,dbh,year
1,10.789875,208.0732418,0,21.072,1995
2,8.098425925925927,100,0,37.706,1995
3,8.170595238095238,171.6443529,0,48.85510204081633,1995
4,8.123935185185186,108.7962963,0,54.01914893617021,1995
5,8.187738095238096,200.080032,0,74.14,1995
6,9.450753968253968,346.6666667,0,16.861538461538462,1995
7,10.748055555555556,45.12635379,0,60.92666666666667,1995
8,6.70125,125.7283042,0,27.129268292682926,1995
9,8.729166666666666,94.00705053,0,54.6125,1995
10,12.303174603174604,105.4945055,0.3125,21.754166666666666,1995
11,8.241583333333333,230.5209774,0,18.554000000000002,1995
13,8.256309523809524,194.7040498,0,32.266,1995
14,9.26686507936508,293.3333333,0.1590909090909091,14.643181818181816,1995
15,7.73075,132.0754717,0,16.695238095238096,1995
16,7.368125,245.0980392,0,31.134,1995
17,9.912380952380952,406.6666667,0,16.22459016393443,1995
18,8.01626984126984,181.7520901,0,12.362,1995
19,7.827175925925926,137.7410468,0,20.438,1995
20,7.5495,153.0456076,0,26.434,1995
21,8.045515873015873,238.4358608,0,19.555999999999997,1995
22,8.729166666666666,406.6666667,0,21.659016393442624,1995
23,8.740958333333333,170.7650273,0,38.176,1995
24,8.621944444444445,141.3305757,0,59.35121951219512,1995
25,7.147583333333333,81.24576845,0,29.66944444444444,1995
26,7.319375,219.2982456,0,20.878,1995
28,7.910375,233.1002331,0,37.61,1995
29,8.523541666666667,124.4918699,0,35.704081632653065,1995
30,7.319375,406.6666667,0,22.13770491803279,1995
31,8.523541666666667,190.3695409,0,50.294117647058826,1995
32,8.523541666666667,161.0305958,0,42.294,1995
34,7.827175925925926,159.2356688,0,21.678,1995
35,16.226666666666667,125.9763165,0,11.526,1995
36,12.502791666666669,142.2070535,0.06,4.343999999999999,1995
37,13.36265873015873,285.8776444,0,9.578,1995
38,10.82297619047619,168.6909582,0.72,19.758,1995
39,10.909126984126983,84.00537634,0,29.244,1995
40,10.909126984126983,182.748538,0.04,24.662,1995
41,12.502791666666669,173.7921446,0.26,5.504,1995
42,16.139125,161.3423685,0.32,5.416000000000001,1995
43,12.985625,204.7502048,0.46,13.315999999999999,1995
44,14.730083333333331,103.2204789,0,34.87,1995
45,9.347083333333334,80.12820513,0,25.368,1995
46,12.720583333333334,305.8103976,0.22,12.67,1995
47,12.720583333333334,56.81818182,0.7555555555555555,33.94444444444444,1995
48,9.06236111111111,259.7402597,0.02,24.554000000000002,1995
49,11.304780701754384,146.4557704,0.02,25.104,1995
51,9.43627450980392,214.7766323,0.54,15.398,1995
52,6.754960317460317,136.0544218,0,7.552,1995
53,6.802324561403509,105.1980198,0,9.638235294117646,1995
54,9.450198412698413,131.3131313,0.28846153846153844,16.153846153846153,1995
55,7.97985294117647,353.3333333,0,16.641509433962266,1995
56,6.575438596491228,151.5151515,0,16.294,1995
57,8.157,323.6245955,0,18.332,1995
58,9.471333333333334,80.64516129,0,39.62258064516129,1995
59,7.481083333333333,311.5264798,0,20.016000000000002,1995
60,7.481083333333333,74.87922705,0,19.916129032258066,1995
61,12.295125,21.39965298,0.35135135135135137,13.91081081081081,1995
62,7.320441176470588,159.642401,0,8.878,1995
63,8.131125,416.6666667,0,12.372,1995
64,6.187291666666667,73.33333333,0,9.236363636363636,1995
65,7.998041666666667,122.6993865,0,12.158333333333333,1995
66,9.224416666666666,333.3333333,0,9.95,1995
67,9.241349206349206,163.5079896,0,40.20681818181818,1995
68,10.493291666666666,172.3543606,0.08,24.38,1995
69,13.055958333333333,46.38218924,0.23333333333333334,78.64666666666666,1995
70,11.949583333333331,125,0.3877551020408163,43.810204081632655,1995
71,7.72421568627451,165.9475606,0,29.186,1995
72,13.541583333333334,47.82400765,0.25,48.0575,1995
73,9.043333333333331,127.6161307,0,28.634,1995
74,9.158859649122808,101.3171226,0,65.744,1995
75,9.043333333333331,127.8118609,0,20.628,1995
76,6.802324561403509,76.15230461,0,30.647368421052633,1995
77,7.242850877192982,280.5836139,0,10.61,1995
78,7.7219444444444445,373.3333333,0,21.198214285714286,1995
79,7.1177631578947365,54.34782609,0,45.513999999999996,1995
80,6.98,346.6666667,0,12.341176470588236,1995
82,6.5896491228070175,198.8862371,0,19.314,1995
83,6.74921052631579,225.8355917,0,21.296,1995
84,6.700958333333333,240.5002405,0,9.846,1995
85,6.2380701754385965,236.7424242,0,14.466000000000001,1995
86,7.514916666666666,180,0,0.4703703703703705,1995
87,9.189901960784312,215.8273381,0,19.647916666666667,1995
88,10.324833333333332,64.85084306,0.56,32.088,1995
89,9.51985294117647,386.6666667,0.017241379310344827,13.924137931034483,1995
90,9.824411764705882,125.2191335,0,23.814,1995
91,9.824411764705882,87.26625111,0,32.310204081632655,1995
92,8.771519607843137,134.1921632,0,39.162,1995
93,8.771519607843137,300.7518797,0.020833333333333332,21.354166666666668,1995
94,10.62485294117647,38.1097561,0,39.96857142857143,1995
95,12.878859649122807,42.7184466,0.4318181818181818,29.73409090909091,1995
96,10.5405,286.6666667,0,16.174418604651162,1995
97,13.204868421052632,96.43201543,0.35,22.7275,1995
98,8.49578431372549,326.6666667,0,32.43877551020408,1995
99,8.49578431372549,189.3939394,0,49.862,1995
